"DATE";"COUNTY";"VACCINE_COUNT";"NEW_VACCINE_COUNT";"RECIPIENT_COUNT";"NEW_RECIPIENT_COUNT";"RECIP_FULLY_VACC";"NEW_RECIP_FULLY_VACC";"id"
"2021-04-19";"MCMINN";20934;255;"13180";"78";"8386";"176";"20210419_MCMINN"
"2021-05-05";"MAURY";69853;1009;"39343";"221";"31115";"793";"20210505_MAURY"
"2021-05-12";"SEVIER";55270;291;"31584";"89";"25101";"200";"20210512_SEVIER"
"2021-05-19";"BLOUNT";93813;255;"50810";"108";"44938";"154";"20210519_BLOUNT"
"2021-05-26";"ROANE";31794;123;"17389";"80";"15416";"61";"20210526_ROANE"
"2020-12-27";"HENDERSON";313;15;"";"";"";"";"20201227_HENDERSON"
"2021-01-07";"DEKALB";580;40;"579";"40";"";"";"20210107_DEKALB"
"2021-02-13";"WAYNE";3259;82;"2184";"29";"1073";"53";"20210213_WAYNE"
"2021-02-27";"MEIGS";3210;91;"2159";"39";"1048";"52";"20210227_MEIGS"
"2021-02-28";"COFFEE";10810;116;"7250";"112";"3534";"4";"20210228_COFFEE"
"2021-03-21";"UNICOI";7855;43;"4756";"39";"3102";"7";"20210321_UNICOI"
"2021-03-30";"CLAIBORNE";12611;159;"8015";"59";"4756";"101";"20210330_CLAIBORNE"
"2021-04-02";"TROUSDALE";3541;96;"2273";"55";"1483";"54";"20210402_TROUSDALE"
"2021-04-14";"OBION";12284;177;"7336";"77";"4915";"95";"20210414_OBION"
"2021-04-24";"BENTON";9104;35;"5188";"6";"3930";"28";"20210424_BENTON"
"2021-05-04";"HARDEMAN";12774;94;"7455";"29";"5737";"67";"20210504_HARDEMAN"
"2021-05-08";"CUMBERLAND";38607;268;"21185";"62";"18584";"217";"20210508_CUMBERLAND"
"2021-05-19";"COCKE";23884;81;"13059";"39";"11503";"41";"20210519_COCKE"
"2021-05-31";"GREENE";43770;21;"23692";"7";"20609";"14";"20210531_GREENE"
"2020-12-23";"COCKE";114;53;"";"";"";"";"20201223_COCKE"
"2020-12-28";"HOUSTON";66;0;"";"";"";"";"20201228_HOUSTON"
"2020-12-31";"LINCOLN";339;12;"";"";"";"";"20201231_LINCOLN"
"2021-01-26";"OBION";2117;138;"1830";"96";"286";"42";"20210126_OBION"
"2021-04-05";"HOUSTON";3090;37;"1950";"11";"1169";"26";"20210405_HOUSTON"
"2021-05-11";"WILLIAMSON";198352;1630;"109324";"426";"92423";"1242";"20210511_WILLIAMSON"
"2021-05-19";"LAUDERDALE";13839;69;"7684";"40";"6533";"27";"20210519_LAUDERDALE"
"2021-05-23";"HUMPHREYS";9790;6;"5366";"2";"4627";"4";"20210523_HUMPHREYS"
"2021-05-29";"LAWRENCE";21261;45;"11410";"23";"9932";"24";"20210529_LAWRENCE"
"2021-06-03";"MARSHALL";22895;57;"12678";"18";"10600";"42";"20210603_MARSHALL"
"2021-01-26";"WASHINGTON";18180;312;"13752";"257";"4413";"55";"20210126_WASHINGTON"
"2021-01-27";"TIPTON";3421;212;"2799";"134";"617";"77";"20210127_TIPTON"
"2021-01-30";"WILSON";11194;480;"7968";"343";"3214";"137";"20210130_WILSON"
"2021-02-11";"MADISON";21395;399;"12945";"167";"8408";"231";"20210211_MADISON"
"2021-03-07";"HAYWOOD";4617;37;"2884";"15";"1723";"22";"20210307_HAYWOOD"
"2021-03-09";"SEQUATCHIE";2668;63;"1769";"35";"895";"27";"20210309_SEQUATCHIE"
"2021-03-15";"GRUNDY";2295;17;"1508";"3";"790";"14";"20210315_GRUNDY"
"2021-04-02";"GRAINGER";10051;164;"6399";"105";"3771";"71";"20210402_GRAINGER"
"2021-04-18";"WILLIAMSON";155583;745;"98049";"277";"60793";"465";"20210418_WILLIAMSON"
"2021-04-22";"OBION";13176;121;"7640";"34";"5484";"84";"20210422_OBION"
"2021-04-30";"MADISON";75756;606;"42863";"129";"33567";"475";"20210430_MADISON"
"2021-05-10";"GREENE";41272;96;"22328";"39";"19385";"62";"20210510_GREENE"
"2021-05-19";"CHEATHAM";25706;146;"13941";"76";"12034";"81";"20210519_CHEATHAM"
"2020-12-26";"DECATUR";106;0;"";"";"";"";"20201226_DECATUR"
"2021-01-03";"KNOX";11281;4;"";"";"";"";"20210103_KNOX"
"2021-01-09";"SULLIVAN";9883;338;"8864";"177";"";"";"20210109_SULLIVAN"
"2021-01-15";"WILLIAMSON";13036;712;"10638";"553";"2373";"158";"20210115_WILLIAMSON"
"2021-01-17";"GIBSON";3072;32;"2830";"32";"241";"0";"20210117_GIBSON"
"2021-01-20";"GILES";1340;62;"1215";"61";"125";"1";"20210120_GILES"
"2021-03-16";"HAMILTON";117243;3825;"78267";"2661";"40407";"1337";"20210316_HAMILTON"
